"keyfield","com_nm","sci_nm","standard","total","weight"
"201709041428-168","Rainwater Killifish","Lucania parva",17.73,NA,0.062
"201709041428-168","Rainwater Killifish","Lucania parva",17.22,NA,0.044
"201709041428-168","Rainwater Killifish","Lucania parva",16.91,NA,0.039
"201709041428-168","Rainwater Killifish","Lucania parva",16.69,NA,0.047
"201709041428-168","Rainwater Killifish","Lucania parva",15.83,NA,0.033
"201709041428-168","Rainwater Killifish","Lucania parva",18.78,NA,0.041
"201709041428-168","Rainwater Killifish","Lucania parva",25.71,NA,0.24
"201709041428-168","Rainwater Killifish","Lucania parva",19.11,NA,0.077
"201709041428-168","Rainwater Killifish","Lucania parva",17.5,NA,0.058
"201709041428-168","Rainwater Killifish","Lucania parva",17.73,NA,0.059
"201709041428-168","Rainwater Killifish","Lucania parva",30.66,NA,0.49
"201709041428-168","Rainwater Killifish","Lucania parva",27.99,NA,0.31
"201709041428-168","Rainwater Killifish","Lucania parva",20.1,NA,0.098
"201709041428-168","Rainwater Killifish","Lucania parva",24.1,NA,0.18
"201709041428-168","Rainwater Killifish","Lucania parva",25.8,NA,0.27
"201709041428-168","Rainwater Killifish","Lucania parva",19.53,NA,0.07
"201709041428-168","Rainwater Killifish","Lucania parva",17.48,NA,0.059
"201709041428-168","Rainwater Killifish","Lucania parva",22.41,NA,0.17
"201709041428-168","Rainwater Killifish","Lucania parva",19.84,NA,0.097
"201709041428-168","Rainwater Killifish","Lucania parva",22.6,NA,0.17
"201709041428-168","Rainwater Killifish","Lucania parva",20.18,NA,0.13
"201709041428-168","Rainwater Killifish","Lucania parva",19.93,NA,0.1
"201709041428-168","Rainwater Killifish","Lucania parva",21.31,NA,0.11
"201709041428-168","Rainwater Killifish","Lucania parva",16.56,NA,0.055
"201709041428-168","Rainwater Killifish","Lucania parva",22.82,NA,0.19
"201709041428-168","Rainwater Killifish","Lucania parva",18.25,NA,0.055
"201709041428-168","Rainwater Killifish","Lucania parva",21.12,NA,0.11
"201709041428-168","Rainwater Killifish","Lucania parva",15.42,NA,0.033
"201709041428-168","Rainwater Killifish","Lucania parva",20.44,NA,0.093
"201709041428-168","Rainwater Killifish","Lucania parva",18.11,NA,0.067
"201709041428-168","Rainwater Killifish","Lucania parva",22.93,NA,0.13
"201709041428-168","Rainwater Killifish","Lucania parva",19.05,NA,0.062
"201709041428-168","Rainwater Killifish","Lucania parva",21.29,NA,0.12
"201709041428-168","Rainwater Killifish","Lucania parva",18.83,NA,0.055
"201709041428-168","Rainwater Killifish","Lucania parva",16.62,NA,0.05
"201709041428-168","Rainwater Killifish","Lucania parva",19.17,NA,0.096
"201709041428-168","Rainwater Killifish","Lucania parva",21.65,NA,0.14
"201709041428-168","Rainwater Killifish","Lucania parva",27.86,NA,0.27
"201709041428-168","Rainwater Killifish","Lucania parva",24.22,NA,0.2
"201709041428-168","Rainwater Killifish","Lucania parva",13.91,NA,0.023
"201709041428-168","Rainwater Killifish","Lucania parva",18.61,NA,0.066
"201709041428-168","Rainwater Killifish","Lucania parva",21.15,NA,0.13
"201709041428-168","Rainwater Killifish","Lucania parva",25.56,NA,0.027
"201709041428-168","Rainwater Killifish","Lucania parva",18.54,NA,0.079
"201709041428-168","Rainwater Killifish","Lucania parva",22.22,NA,0.15
"201709041428-168","Rainwater Killifish","Lucania parva",19.19,NA,0.1
"201709041428-168","Rainwater Killifish","Lucania parva",16.7,NA,0.063
"201709041428-168","Rainwater Killifish","Lucania parva",16.54,NA,0.06
"201709041428-168","Rainwater Killifish","Lucania parva",17.17,NA,0.07
"201709041428-168","Rainwater Killifish","Lucania parva",26.26,NA,0.31
"201709041428-168","Rainwater Killifish","Lucania parva",21.31,NA,0.15
"201709041428-168","Rainwater Killifish","Lucania parva",15.03,NA,0.04
"201709041428-168","Rainwater Killifish","Lucania parva",16.02,NA,0.034
"201709041428-168","Rainwater Killifish","Lucania parva",17.62,NA,0.042
"201709041428-168","Rainwater Killifish","Lucania parva",19.95,NA,0.086
"201709041428-168","Rainwater Killifish","Lucania parva",33.05,NA,0.42
"201709041428-168","Rainwater Killifish","Lucania parva",16.1,NA,0.041
"201709041428-168","Rainwater Killifish","Lucania parva",19.28,NA,0.078
"201709041428-168","Rainwater Killifish","Lucania parva",20.08,NA,0.11
"201709041428-168","Rainwater Killifish","Lucania parva",18.83,NA,0.086
"201709041428-168","Rainwater Killifish","Lucania parva",18.4,NA,0.086
"201709041428-168","Rainwater Killifish","Lucania parva",21.06,NA,0.088
"201709041428-168","Rainwater Killifish","Lucania parva",18.61,NA,0.079
"201709041428-168","Rainwater Killifish","Lucania parva",22.34,NA,0.16
"201709041428-168","Rainwater Killifish","Lucania parva",18.33,NA,0.081
"201709041428-168","Rainwater Killifish","Lucania parva",19.25,NA,0.1
"201709041428-168","Rainwater Killifish","Lucania parva",19.46,NA,0.088
"201709041428-168","Rainwater Killifish","Lucania parva",22.08,NA,0.12
"201709041428-168","Rainwater Killifish","Lucania parva",19.75,NA,0.08
"201709041428-168","Rainwater Killifish","Lucania parva",16.05,NA,0.039
"201709041428-168","Rainwater Killifish","Lucania parva",18.67,NA,0.11
"201709041428-168","Rainwater Killifish","Lucania parva",18.82,NA,0.093
"201709041428-168","Rainwater Killifish","Lucania parva",23.89,NA,0.22
"201709041428-168","Rainwater Killifish","Lucania parva",19.22,NA,0.065
"201709041428-168","Rainwater Killifish","Lucania parva",25.98,NA,0.27
"201709041428-168","Rainwater Killifish","Lucania parva",24.19,NA,0.19
"201709041428-168","Rainwater Killifish","Lucania parva",23.82,NA,0.18
"201709041428-168","Rainwater Killifish","Lucania parva",16.39,NA,0.043
"201709041428-168","Rainwater Killifish","Lucania parva",20.45,NA,0.12
"201709041428-168","Rainwater Killifish","Lucania parva",18.76,NA,0.057
"201709041428-168","Rainwater Killifish","Lucania parva",16.67,NA,0.043
"201709041428-168","Rainwater Killifish","Lucania parva",19.63,NA,0.083
"201709041428-168","Rainwater Killifish","Lucania parva",17.85,NA,0.065
"201709041428-168","Rainwater Killifish","Lucania parva",28.12,NA,0.32
"201709041428-168","Rainwater Killifish","Lucania parva",23.7,NA,0.14
"201709041428-168","Rainwater Killifish","Lucania parva",19.85,NA,0.08
"201709041428-168","Rainwater Killifish","Lucania parva",22.49,NA,0.15
"201709041428-168","Rainwater Killifish","Lucania parva",17.57,NA,0.096
"201709041428-168","Rainwater Killifish","Lucania parva",17.99,NA,0.066
"201709041428-168","Rainwater Killifish","Lucania parva",18.79,NA,0.066
"201709041428-168","Rainwater Killifish","Lucania parva",24.42,NA,0.24
"201709041428-168","Rainwater Killifish","Lucania parva",19.86,NA,0.1
"201709041428-168","Rainwater Killifish","Lucania parva",19.71,NA,0.13
"201709041428-168","Rainwater Killifish","Lucania parva",24.05,NA,0.19
"201709041428-168","Rainwater Killifish","Lucania parva",19.24,NA,0.081
"201709041428-168","Rainwater Killifish","Lucania parva",21.39,NA,0.14
"201709041428-168","Rainwater Killifish","Lucania parva",21.05,NA,0.11
"201709041428-168","Rainwater Killifish","Lucania parva",16.03,NA,0.065
"201709041428-168","Rainwater Killifish","Lucania parva",25.9,NA,0.25
"201709041428-168","Rainwater Killifish","Lucania parva",18.13,NA,0.063
"201709041428-168","Rainwater Killifish","Lucania parva",25.83,NA,0.226
"201709041428-168","Rainwater Killifish","Lucania parva",18.15,NA,0.049
"201709041428-168","Rainwater Killifish","Lucania parva",17.83,NA,0.058
"201709041428-168","Rainwater Killifish","Lucania parva",19.62,NA,0.094
"201709041428-168","Silver Perch","Bairdiella chrysoura",89.11,NA,13
"201709041428-168","Silver Perch","Bairdiella chrysoura",48.95,NA,2
"201709051104-266","Code Goby","Gobiosoma robustum",22.17,NA,0.15
"201709051104-266","Code Goby","Gobiosoma robustum",23.27,NA,0.15
"201709051104-266","Dwarf Seahorse","Hippocampus zosterae",24.16,NA,0.013
"201709051104-266","Goldspotted Killifish","Floridichthys carpio",19.7,NA,0.17
"201709051104-266","Goldspotted Killifish","Floridichthys carpio",15.63,NA,0.076
"201709051104-266","Goldspotted Killifish","Floridichthys carpio",14.19,NA,0.049
"201709051104-266","Goldspotted Killifish","Floridichthys carpio",24.34,NA,0.41
"201709051104-266","Gulf Pipefish","Syngnathus scovelli",32.74,77.08,0.25
"201709051104-266","Gulf Pipefish","Syngnathus scovelli",31.33,71.3,0.24
"201709051104-266","Gulf Pipefish","Syngnathus scovelli",31.51,70.27,0.19
"201709051104-266","Gulf Pipefish","Syngnathus scovelli",29.77,72.04,0.18
"201709051104-266","Mojarra Spp","Eucinostomus spp",38.57,NA,0.97
"201709051104-266","Mojarra Spp","Eucinostomus spp",74.1,NA,8.3
"201709051104-266","Mojarra Spp","Eucinostomus spp",34.55,NA,0.74
"201709051104-266","Mojarra Spp","Eucinostomus spp",52.42,NA,2.8
"201709051104-266","Mojarra Spp","Eucinostomus spp",32.47,NA,0.51
"201709051104-266","Mojarra Spp","Eucinostomus spp",14.17,NA,0.031
"201709051104-266","Mojarra Spp","Eucinostomus spp",46.81,NA,2.1
"201709051104-266","Mojarra Spp","Eucinostomus spp",59.56,NA,4.2
"201709051104-266","Mojarra Spp","Eucinostomus spp",60.21,NA,4.1
"201709051104-266","Mojarra Spp","Eucinostomus spp",29.81,NA,0.43
"201709051104-266","Mojarra Spp","Eucinostomus spp",32.95,NA,0.56
"201709051104-266","Mojarra Spp","Eucinostomus spp",63.66,NA,4.9
"201709051104-266","Mojarra Spp","Eucinostomus spp",14.53,NA,0.023
"201709051104-266","Mojarra Spp","Eucinostomus spp",24.55,NA,0.18
"201709051104-266","Mojarra Spp","Eucinostomus spp",66.53,NA,5.5
"201709051104-266","Mojarra Spp","Eucinostomus spp",58.33,NA,4
"201709051104-266","Mojarra Spp","Eucinostomus spp",60,NA,4.2
"201709051104-266","Mojarra Spp","Eucinostomus spp",38.03,NA,0.69
"201709051104-266","Mojarra Spp","Eucinostomus spp",23.33,NA,0.14
"201709051104-266","Mojarra Spp","Eucinostomus spp",34.76,NA,0.6
"201709051104-266","Mojarra Spp","Eucinostomus spp",67.49,NA,6.1
"201709051104-266","Mojarra Spp","Eucinostomus spp",27.99,NA,0.29
"201709051104-266","Mojarra Spp","Eucinostomus spp",26.72,NA,0.29
"201709051104-266","Mojarra Spp","Eucinostomus spp",29.51,NA,0.38
"201709051104-266","Mojarra Spp","Eucinostomus spp",24.29,NA,0.13
"201709051104-266","Mojarra Spp","Eucinostomus spp",69.5,NA,5.7
"201709051104-266","Mojarra Spp","Eucinostomus spp",20.06,NA,0.12
"201709051104-266","Rainwater Killifish","Lucania parva",15.38,NA,0.03
"201709051104-266","Rainwater Killifish","Lucania parva",17.65,NA,0.063
"201709051104-266","Rainwater Killifish","Lucania parva",22.44,NA,0.17
"201709051104-266","Rainwater Killifish","Lucania parva",24.49,NA,0.2
"201709051104-266","Rainwater Killifish","Lucania parva",22.95,NA,0.15
"201709051104-266","Rainwater Killifish","Lucania parva",21.88,NA,0.13
"201709051104-266","Rainwater Killifish","Lucania parva",23.1,NA,0.16
"201709051104-266","Rainwater Killifish","Lucania parva",22.31,NA,0.19
"201709051104-266","Rainwater Killifish","Lucania parva",19.25,NA,0.088
"201709051104-266","Rainwater Killifish","Lucania parva",17.44,NA,0.074
"201709051104-266","Rainwater Killifish","Lucania parva",23.82,NA,0.17
"201709051104-266","Rainwater Killifish","Lucania parva",24.06,NA,0.19
"201709051104-266","Rainwater Killifish","Lucania parva",19.35,NA,0.1
"201709051104-266","Rainwater Killifish","Lucania parva",22.7,NA,0.22
"201709051104-266","Rainwater Killifish","Lucania parva",24.63,NA,0.25
"201709051104-266","Rainwater Killifish","Lucania parva",21.62,NA,0.13
"201709051104-266","Rainwater Killifish","Lucania parva",24.73,NA,0.26
"201709051104-266","Rainwater Killifish","Lucania parva",18.11,NA,0.081
"201709051104-266","Rainwater Killifish","Lucania parva",19.92,NA,0.11
"201709051104-266","Rainwater Killifish","Lucania parva",22.19,NA,0.21
"201709051104-266","Rainwater Killifish","Lucania parva",19.89,NA,0.11
"201709051104-266","Rainwater Killifish","Lucania parva",17.79,NA,0.055
"201709051104-266","Rainwater Killifish","Lucania parva",22.84,NA,0.17
"201709051104-266","Rainwater Killifish","Lucania parva",16.38,NA,0.047
"201709051104-266","Rainwater Killifish","Lucania parva",22.83,NA,0.12
"201709051104-266","Rainwater Killifish","Lucania parva",20.04,NA,0.087
"201709051104-266","Rainwater Killifish","Lucania parva",21.74,NA,0.13
"201709051104-266","Rainwater Killifish","Lucania parva",22.71,NA,0.15
"201709051104-266","Rainwater Killifish","Lucania parva",17.26,NA,0.058
"201709051104-266","Rainwater Killifish","Lucania parva",18.36,NA,0.081
"201709051104-266","Rainwater Killifish","Lucania parva",19.55,NA,0.1
"201709051104-266","Rainwater Killifish","Lucania parva",20.38,NA,0.13
"201709051104-266","Rainwater Killifish","Lucania parva",17.65,NA,0.057
"201709051104-266","Rainwater Killifish","Lucania parva",22.04,NA,0.18
"201709051104-266","Rainwater Killifish","Lucania parva",23.18,NA,0.2
"201709051104-266","Rainwater Killifish","Lucania parva",17,NA,0.083
"201709051104-266","Rainwater Killifish","Lucania parva",21.54,NA,0.15
"201709051104-266","Rainwater Killifish","Lucania parva",24.56,NA,0.26
"201709051104-266","Rainwater Killifish","Lucania parva",25.15,NA,0.28
"201709051104-266","Rainwater Killifish","Lucania parva",21.09,NA,0.18
"201709051104-266","Rainwater Killifish","Lucania parva",13.26,NA,0.028
"201709051104-266","Rainwater Killifish","Lucania parva",24.01,NA,0.26
"201709051104-266","Rainwater Killifish","Lucania parva",22.17,NA,0.19
"201710061317-618","Banner Goby","Microgobius microlepis",23.99,NA,0.1
"201710061317-618","Banner Goby","Microgobius microlepis",29.12,NA,0.14
"201710061317-618","Bay Anchovy","Anchoa mitchilli",47.6,NA,0.95
"201710061317-618","Goldspotted Killifish","Floridichthys carpio",20.27,NA,0.17
"201710061317-618","Goldspotted Killifish","Floridichthys carpio",25.87,NA,0.44
"201710061317-618","Mojarra Spp","Eucinostomus spp",65.69,NA,6.6
"201710061317-618","Mojarra Spp","Eucinostomus spp",69.65,NA,7
"201710061317-618","Mojarra Spp","Eucinostomus spp",58.08,NA,4
"201710061317-618","Mojarra Spp","Eucinostomus spp",63.99,NA,5.9
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.07,NA,0.06
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.56,NA,0.052
"201710061317-618","Mojarra Spp","Eucinostomus spp",27.87,NA,0.27
"201710061317-618","Mojarra Spp","Eucinostomus spp",67.18,NA,6.5
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.14,NA,0.058
"201710061317-618","Mojarra Spp","Eucinostomus spp",17.8,NA,0.064
"201710061317-618","Mojarra Spp","Eucinostomus spp",39.51,NA,1.3
"201710061317-618","Mojarra Spp","Eucinostomus spp",52.55,NA,3.3
"201710061317-618","Mojarra Spp","Eucinostomus spp",68.25,NA,6.9
"201710061317-618","Mojarra Spp","Eucinostomus spp",48.32,NA,2.1
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.86,NA,0.072
"201710061317-618","Mojarra Spp","Eucinostomus spp",67.02,NA,7.5
"201710061317-618","Mojarra Spp","Eucinostomus spp",17.29,NA,0.052
"201710061317-618","Mojarra Spp","Eucinostomus spp",15.8,NA,0.04
"201710061317-618","Mojarra Spp","Eucinostomus spp",60.11,NA,4.6
"201710061317-618","Mojarra Spp","Eucinostomus spp",15.72,NA,0.043
"201710061317-618","Mojarra Spp","Eucinostomus spp",23.29,NA,0.21
"201710061317-618","Mojarra Spp","Eucinostomus spp",35.65,NA,0.91
"201710061317-618","Mojarra Spp","Eucinostomus spp",60,NA,4.6
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.87,NA,0.069
"201710061317-618","Mojarra Spp","Eucinostomus spp",32.83,NA,0.65
"201710061317-618","Mojarra Spp","Eucinostomus spp",71.41,NA,7.3
"201710061317-618","Mojarra Spp","Eucinostomus spp",32.92,NA,0.75
"201710061317-618","Mojarra Spp","Eucinostomus spp",17.07,NA,0.048
"201710061317-618","Mojarra Spp","Eucinostomus spp",19.08,NA,0.092
"201710061317-618","Mojarra Spp","Eucinostomus spp",22.05,NA,0.2
"201710061317-618","Mojarra Spp","Eucinostomus spp",47.9,NA,2.4
"201710061317-618","Mojarra Spp","Eucinostomus spp",48.54,NA,2.2
"201710061317-618","Mojarra Spp","Eucinostomus spp",17.27,NA,0.07
"201710061317-618","Mojarra Spp","Eucinostomus spp",17.91,NA,0.082
"201710061317-618","Mojarra Spp","Eucinostomus spp",26.76,NA,0.35
"201710061317-618","Mojarra Spp","Eucinostomus spp",35.57,NA,1
"201710061317-618","Mojarra Spp","Eucinostomus spp",18.25,NA,0.052
"201710061317-618","Mojarra Spp","Eucinostomus spp",53.09,NA,3.3
"201710061317-618","Mojarra Spp","Eucinostomus spp",63.17,NA,5.4
"201710061317-618","Mojarra Spp","Eucinostomus spp",19.07,NA,0.091
"201710061317-618","Mojarra Spp","Eucinostomus spp",64.02,NA,5.8
"201710071423-314","Mojarra Spp","Eucinostomus spp",62.2,NA,5.4
"201710071423-314","Mojarra Spp","Eucinostomus spp",56.89,NA,3.8
"201710071423-314","Mojarra Spp","Eucinostomus spp",56.45,NA,4.1
"201710071423-314","Mojarra Spp","Eucinostomus spp",50.64,NA,2.7
"201710071423-314","Mojarra Spp","Eucinostomus spp",45.63,NA,1.9
"201710071423-314","Mojarra Spp","Eucinostomus spp",71.77,NA,8.4
"201710071423-314","Mojarra Spp","Eucinostomus spp",72.03,NA,7.8
"201710071423-314","Mojarra Spp","Eucinostomus spp",60.92,NA,4.5
"201710071423-314","Mojarra Spp","Eucinostomus spp",43.62,NA,1.8
"201710071423-314","Mojarra Spp","Eucinostomus spp",60.81,NA,4.7
"201710071342-402","Dwarf Seahorse","Hippocampus zosterae",32.5,NA,0.11
"201710071342-402","Goldspotted Killifish","Floridichthys carpio",31.02,NA,0.83
"201710071342-402","Mojarra Spp","Eucinostomus spp",58.36,NA,4.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.97,NA,5.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.02,NA,3.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.77,NA,4
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.61,NA,3.5
"201710071342-402","Mojarra Spp","Eucinostomus spp",54.01,NA,3.4
"201710071342-402","Mojarra Spp","Eucinostomus spp",63.04,NA,6
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.2,NA,5
"201710071342-402","Mojarra Spp","Eucinostomus spp",41.58,NA,1.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.81,NA,3.9
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.44,NA,3.4
"201710071342-402","Mojarra Spp","Eucinostomus spp",46.1,NA,2
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.5,NA,3.5
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.2,NA,3.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.12,NA,3.9
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.88,NA,4.1
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.06,NA,4.1
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.24,NA,3.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",63.48,NA,5.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.9,NA,3.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",64.53,NA,6.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",60.62,NA,5.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.15,NA,5.1
"201710071342-402","Mojarra Spp","Eucinostomus spp",59.37,NA,4.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.24,NA,3.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",52.82,NA,3.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.26,NA,4.4
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.33,NA,6.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",60.47,NA,4.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",50.91,NA,2.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.64,NA,3.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.19,NA,4.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",68.53,NA,7
"201710071342-402","Mojarra Spp","Eucinostomus spp",61.54,NA,5.5
"201710071342-402","Mojarra Spp","Eucinostomus spp",44.44,NA,1.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",53.67,NA,3.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.34,NA,3.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",63.64,NA,6.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",60.22,NA,4.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",61.24,NA,4.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.81,NA,4.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",51.73,NA,3
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.45,NA,3.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",45.17,NA,1.7
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.16,NA,5.2
"201710071342-402","Mojarra Spp","Eucinostomus spp",59.17,NA,4.4
"201710071342-402","Mojarra Spp","Eucinostomus spp",69.61,NA,7.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.38,NA,5.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",58.11,NA,3.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",56.17,NA,3.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",59.09,NA,4.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",61.45,NA,4.9
"201710071342-402","Mojarra Spp","Eucinostomus spp",29.18,NA,0.51
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.78,NA,3.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",62.58,NA,5.3
"201710071342-402","Mojarra Spp","Eucinostomus spp",57.45,NA,4.6
"201710071342-402","Mojarra Spp","Eucinostomus spp",55.6,NA,3.8
"201710071342-402","Mojarra Spp","Eucinostomus spp",59.37,NA,4.6
"201710071525-301","Bay Anchovy","Anchoa mitchilli",39.88,NA,0.66
"201710071525-301","Bay Anchovy","Anchoa mitchilli",41.13,NA,0.78
"201710071525-301","Bay Anchovy","Anchoa mitchilli",39.22,NA,0.6
"201710071525-301","Bay Anchovy","Anchoa mitchilli",46.23,NA,1.1
"201710071525-301","Bay Anchovy","Anchoa mitchilli",39.82,NA,0.66
"201710071525-301","Bay Anchovy","Anchoa mitchilli",39.62,NA,0.63
"201710071525-301","Bay Anchovy","Anchoa mitchilli",40.86,NA,0.72
"201710071525-301","Bay Anchovy","Anchoa mitchilli",44.7,NA,0.91
"201710071525-301","Bay Anchovy","Anchoa mitchilli",45.58,NA,0.94
"201710071525-301","Bay Anchovy","Anchoa mitchilli",39.39,NA,0.6
"201710071525-301","Mojarra Spp","Eucinostomus spp",62.21,NA,5.3
"201710071525-301","Mojarra Spp","Eucinostomus spp",63.63,NA,6.1
"201710071525-301","Mojarra Spp","Eucinostomus spp",59.16,NA,4.5
"201710071525-301","Mojarra Spp","Eucinostomus spp",58.26,NA,4.3
"201710071525-301","Mojarra Spp","Eucinostomus spp",49.11,NA,2.4
"201710071525-301","Mojarra Spp","Eucinostomus spp",62,NA,5.2
"201710071525-301","Mojarra Spp","Eucinostomus spp",42.89,NA,1.5
"201710071525-301","Mojarra Spp","Eucinostomus spp",21.37,NA,0.16
"201710071525-301","Mojarra Spp","Eucinostomus spp",52.74,NA,3.2
"201710081010-070","Herring Spp","Clupeidae spp",24.67,NA,0.04
"201710081010-070","Mojarra Spp","Eucinostomus spp",30.83,NA,0.52
"201710081010-070","Mojarra Spp","Eucinostomus spp",38.4,NA,1.1
"201710081010-070","Mojarra Spp","Eucinostomus spp",38.19,NA,1.2
"201710081010-070","Mojarra Spp","Eucinostomus spp",38.61,NA,1.2
"201710081010-070","Mojarra Spp","Eucinostomus spp",38.7,NA,0.91
"201710081010-070","Mojarra Spp","Eucinostomus spp",37.9,NA,1.1
"201710081010-070","Mojarra Spp","Eucinostomus spp",50.98,NA,2.7
"201710081010-070","Mojarra Spp","Eucinostomus spp",38.47,NA,0.88
"201710081010-070","Mojarra Spp","Eucinostomus spp",47.24,NA,2.2
"201710081010-070","Mojarra Spp","Eucinostomus spp",52.85,NA,3.3
"201710081010-070","Mojarra Spp","Eucinostomus spp",48.73,NA,2.2
"201710081010-070","Mojarra Spp","Eucinostomus spp",40,NA,1.3
"201710081010-070","Mojarra Spp","Eucinostomus spp",56.28,NA,3.8
"201710081010-070","Mojarra Spp","Eucinostomus spp",37.15,NA,0.93
"201710081010-070","Mojarra Spp","Eucinostomus spp",47.69,NA,2.1
"201710081010-070","Mojarra Spp","Eucinostomus spp",43.6,NA,1.7
"201710081010-070","Mojarra Spp","Eucinostomus spp",40.01,NA,1.2
"201710081010-070","Mojarra Spp","Eucinostomus spp",61.16,NA,4.2
"201710081152-022","Bluestriped Grunt","Haemulon sciurus",32.85,39.23,0.66
"201710081152-022","Bluestriped Grunt","Haemulon sciurus",41.94,50.71,1.5
"201710081152-022","Bluestriped Grunt","Haemulon sciurus",36.81,46,0.96
"201710081152-022","Bluestriped Grunt","Haemulon sciurus",35.39,43.35,0.77
"201710081152-022","Emerald Parrotfish","Nicholsina usta",63.93,NA,3.9
"201710081152-022","Fringed Filefish","Monacanthus ciliatus",55.89,NA,3.6
"201710081152-022","Fringed Filefish","Monacanthus ciliatus",54.2,NA,3.5
"201710081152-022","Fringed Filefish","Monacanthus ciliatus",51.45,NA,2.7
"201710081152-022","Fringed Filefish","Monacanthus ciliatus",52.54,NA,3.3
"201710081152-022","Gulf Toadfish","Opsanus beta",26.33,NA,0.28
"201710081152-022","Marbled Blenny","Paraclinus marmoratus",46.41,NA,1.1
"201710081152-022","Mojarra Spp","Eucinostomus spp",63.52,NA,4.8
"201710081152-022","Mojarra Spp","Eucinostomus spp",61.85,NA,4.7
"201710081152-022","Mojarra Spp","Eucinostomus spp",28.43,NA,0.3
"201710081152-022","Mojarra Spp","Eucinostomus spp",26.16,NA,0.15
"201710081152-022","Mojarra Spp","Eucinostomus spp",28.39,NA,0.21
"201710081152-022","Mojarra Spp","Eucinostomus spp",42.91,NA,1.7
"201710081152-022","Mojarra Spp","Eucinostomus spp",26.52,NA,0.2
"201710081152-022","Mojarra Spp","Eucinostomus spp",29.28,NA,0.34
"201710081152-022","Pinfish","Lagodon rhomboides",68.98,NA,8.6
"201710081152-022","Pinfish","Lagodon rhomboides",81.38,NA,14
"201710081152-022","Porkfish","Arisotremus virginicus",23.18,NA,0.17
"201710081152-022","Silver Perch","Bairdiella chrysoura",65.84,NA,4.9
"201710081152-022","Silver Perch","Bairdiella chrysoura",75.31,NA,7.6
"201710081152-022","Spanish Sardine","Sardinella aurita",21.69,NA,0.051
"201710081152-022","Spanish Sardine","Sardinella aurita",24.01,NA,0.11
"201710081152-022","White Grunt","Haemulon plumierii",23.21,NA,0.23
"201710081245-123","Grunt Spp","Haemulon spp",27.13,36.25,0.34
"201710081245-123","Grunt Spp","Haemulon spp",33.21,39.73,0.71
"201710081245-123","Mojarra Spp","Eucinostomus spp",36.34,NA,0.82
"201710081245-123","Mojarra Spp","Eucinostomus spp",42.37,NA,1.3
"201710081245-123","Mojarra Spp","Eucinostomus spp",61.08,NA,4.7
"201710081245-123","Mojarra Spp","Eucinostomus spp",22.36,NA,0.16
"201710081245-123","Mojarra Spp","Eucinostomus spp",40.03,NA,1.2
